아벨,MPID_アベル
알파드,MPID_アルファルド
뤼에르,MPID_リュール女
알폰스,MPID_比翼アルフォンス
알폰스,MPID_アルフォンス
알폰스,MPID_春祭アルフォンス
알폰스,MPID_愛の祭アルフォンス
알프레드,MPID_魔器アルフレッド
아름,MPID_アルム
아름,MPID_総選挙アルム
아름,MPID_比翼アルム
아름,MPID_伝承アルム
알테나,MPID_アルテナ
올티나,MPID_双界オルティナ
올티나,MPID_神階オルティナ
아멜리아,MPID_アメリア
안나,MPID_アンナ
안나,MPID_覚醒アンナ
안나,MPID_年明アンナ
마냐,MPID_マーニャ
아네트,MPID_冬祭アネット
아네트,MPID_アネット
아단,MPID_アーダン
아레스,MPID_アレス
셴메이,MPID_シェンメイ
아서,MPID_アーサー
해럴드,MPID_ハロルド
아스레이,MPID_冬祭アスレイ
아르발,MPID_神階ラルヴァ
알비스,MPID_アルヴィス
아스벨,MPID_アスベル
아슈,MPID_年明アシュ
아슈,MPID_アシュ
애쉬,MPID_春祭アッシュ
애쉬,MPID_水着アッシュ
아스타르테,MPID_神階アスタルテ
아슈나드,MPID_暴走アシュナード
아스크,MPID_神階アスク
아스크,MPID_比翼アスク
아스트리아,MPID_アストリア
스텔라,MPID_ステラ
아테나,MPID_アテナ
아틀라스,MPID_アトラス
아우구스트,MPID_アウグスト
인버스,MPID_インバース
아이라,MPID_アイラ
아사마,MPID_アサマ
아젤,MPID_アゼル
아쿠아,MPID_年明けアクア
아쿠아,MPID_双界アクア
아쿠아,MPID_舞踏祭黒アクア
아쿠아,MPID_アクア
아쿠아,MPID_伝承アクア
아쿠아,MPID_幼少アクア
발타자르,MPID_バルタザール
바누투,MPID_バヌトゥ
바츠,MPID_バーツ
바아톨,MPID_春祭バアトル
바아톨,MPID_バアトル
바질리오,MPID_バジーリオ
율리시스,MPID_ユリシーズ
브노와,MPID_ブノワ
베르크트,MPID_舞踏ベルクト
베르크트,MPID_ベルクト
베르크트,MPID_闇ベルクト
베르나데타,MPID_ベルナデッタ
베르나데타,MPID_冬祭ベルナデッタ
베르나데타,MPID_春祭ベルナデッタ
베우포레스,MPID_ベウフォレス
베르카,MPID_ベルカ
칠흑의 기사,MPID_漆黒の騎士
칠흑의 기사,MPID_冬祭漆黒の騎士
보이,MPID_ボーイ
보레,MPID_幼少ボーレ
브레디,MPID_ブレディ
브라미몬드,MPID_神階ブラミモンド
도적 두목,MPID_盗賊頭
브리기드,MPID_海賊ブリギッド
브루냐,MPID_ブルーニャ
브루노,MPID_春祭ブルーノ
브루노,MPID_冬祭ブルーノ
벨레스,MPID_比翼ベレス
벨레트,MPID_カダインベレト
벨레스,MPID_ベレス
벨레스,MPID_総選挙ベレス
벨레트,MPID_ベレト
벨레스,MPID_伝承ベレス
벨레트,MPID_伝承ベレト
시다,MPID_伝承シーダ
시다,MPID_幼少シーダ
시다,MPID_双界シーダ
시다,MPID_花嫁シーダ
시다,MPID_シーダ
마토이,MPID_マトイ
케세르다,MPID_ケセルダ
카인,MPID_カイン
카이네기스,MPID_カイネギス
카밀라,MPID_カミラ
카밀라,MPID_夢カミラ
카밀라,MPID_年明けカミラ
카밀라,MPID_総選挙カミラ
카밀라,MPID_忍者カミラ
카밀라,MPID_春祭カミラ
카밀라,MPID_温泉カミラ
카밀라,MPID_水着カミラ
카뮤,MPID_カミュ
카나스,MPID_カナス
카스파르,MPID_水着カスパル
캐스,MPID_怪盗キャス
캐스,MPID_キャス
카트린,MPID_カトリーヌ
카츄아,MPID_双界外伝カチュア
카츄아,MPID_カチュア
카츄아,MPID_外伝カチュア
카츄아,MPID_春祭カチュア
세실리아,MPID_花嫁セシリア
세실리아,MPID_セシリア
세실리아,MPID_冬祭セシリア
세티,MPID_セティ
세리카,MPID_セリカ
세리카,MPID_魔女セリカ
세리카,MPID_伝承セリカ
세리카,MPID_開花セリカ
세리카,MPID_総選挙セリカ
셀린,MPID_セリーヌ
세르반테스,MPID_セルバンテス
챠드,MPID_チャド
샤를로테,MPID_花嫁シャーロッテ
샤를로테,MPID_シャーロッテ
세르쥬,MPID_忍者セルジュ
세르쥬,MPID_セルジュ
클로에,MPID_クロエ
크롬,MPID_伝承クロム
크롬,MPID_クロム
크롬,MPID_比翼クロム
크롬,MPID_総選挙クロム
크롬,MPID_冬祭クロム
크롬,MPID_クロム2
크롬,MPID_春祭クロム
클레어,MPID_クレア
클라리네,MPID_クラリーネ
클라이네,MPID_クライネ
클로드,MPID_総選挙クロード
클로드,MPID_伝承クロード
클로드,MPID_クロード
클로드,MPID_水着クロード
클레베,MPID_クレーベ
코마,MPID_コーマ
콘라트,MPID_コンラート
콘라트,MPID_愛の祭コンラート
콘스탄체,MPID_コンスタンツェ
티아모,MPID_水着ティアモ
티아모,MPID_ティアモ
티아모,MPID_花嫁ティアモ
티아모,MPID_双界ティアモ
쿠거,MPID_クーガー
카무이,MPID_暴走カムイ男
카무이,MPID_ハロカムイ男
카무이,MPID_伝承カムイ女
카무이,MPID_忍者カムイ男
카무이,MPID_夢カムイ男
카무이,MPID_夢カムイ女
카무이,MPID_年明けカムイ男
카무이,MPID_カムイ男
카무이,MPID_カムイ女
카무이,MPID_比翼カムイ女
카무이,MPID_水着カムイ女
카무이,MPID_ハロカムイ女
카무이,MPID_暴走カムイ女
신시아,MPID_シンシア
다그,MPID_比翼ダグ
다그,MPID_ダグ味方
다로스,MPID_海賊ダロス
사신기사,MPID_死神騎士
두두,MPID_ドゥドゥ―
딘,MPID_ハタリディーン
디아도라,MPID_伝承ディアドラ
디아도라,MPID_ディアドラ
듀테,MPID_デューテ
듀테,MPID_春祭デューテ
듀테,MPID_催眠デューテ
데긴헨더,MPID_ハロデギンハンザー
디크,MPID_ディーク
디미트리,MPID_総選挙ディミトリ
디미트리,MPID_闇ディミトリ
디미트리,MPID_伝承ディミトリ
디미트리,MPID_水着ディミトリ
디미트리,MPID_ディミトリ
디트바,MPID_ディートバ
도니,MPID_ドニ
돌카스,MPID_ハロドルカス
돌카스,MPID_ドルカス
도로테아,MPID_水着ドロテア
도로테아,MPID_双界ドロテア
도로테아,MPID_冬祭ドロテア
도즈라,MPID_ハロドズラ
드가,MPID_ドーガ
듀셀,MPID_デュッセル
도마,MPID_神階ドーマ
도마,MPID_比翼ドーマ
디어,MPID_ディーア
에키드나,MPID_エキドナ
에델가르트,MPID_総選挙エーデル
에델가르트,MPID_伝承エーデルガルト
에델가르트,MPID_覇骸エーデルガルト
에델가르트,MPID_双界エーデルガルト
에델가르트,MPID_エーデルガルト
엘피,MPID_エルフィ
엘피,MPID_愛の祭エルフィ
에일,MPID_開花エイル味方
에일,MPID_神階エイル
에일,MPID_年明エイル
에이리크,MPID_エイリーク2
에이리크,MPID_水着エイリーク
에이리크,MPID_冬祭エイリーク
에이리크,MPID_伝承エイリーク
에이리크,MPID_総選挙エイリーク
에이리크,MPID_エイリーク
에이리크,MPID_比翼エイリーク
에이트리,MPID_エイトリ味方
엘트샨,MPID_エルトシャン
엘트샨,MPID_舞踏エルトシャン
엘레오노라,MPID_エレオノーラ
에리스,MPID_エリス
엘리민,MPID_神階エリミーヌ
에린시아,MPID_開花エリンシア
에린시아,MPID_夏祭エリンシア
에린시아,MPID_エリンシア
에린시아,MPID_水着エリンシア
엘리제,MPID_温泉エリーゼ
엘리제,MPID_エリーゼ
엘리제,MPID_比翼エリーゼ
엘리제,MPID_水着エリーゼ
엘리우드,MPID_伝承エリウッド
엘리우드,MPID_愛の祭エリウッド
엘리우드,MPID_エリウッド
엘리우드,MPID_総選挙エリウッド
엘름,MPID_年明エルム
엠블라,MPID_エンブラ味方
에메리나,MPID_エメリナ
이나,MPID_ハロイナ
에프람,MPID_比翼エフラム
에프람,MPID_伝承エフラム
에프람,MPID_エフラム
에프람,MPID_総選挙エフラム
에프람,MPID_冬祭エフラム
에레미야,MPID_エレミヤ
퓨리,MPID_フュリー
엘크,MPID_エルク
에스트,MPID_エスト
에스트,MPID_春祭エスト
에스트,MPID_外伝エスト
에슬린,MPID_舞踏エスリン
에슬린,MPID_エスリン
에티에,MPID_エーティエ
유안,MPID_ユアン
에벨,MPID_エーヴェル
화,MPID_伝承ファ
화,MPID_ファ
화,MPID_冬祭ファ
파프니르,MPID_年明ファフニール
파리나,MPID_ファリナ
에피,MPID_エフィ
에피,MPID_愛の祭エフィ
펠리시아,MPID_フェリシア
펠리시아,MPID_行楽フェリシア
펠릭스,MPID_冬祭フェリクス
페르디난트,MPID_フェルディナント
페르난,MPID_フェルナン
핀,MPID_フィン
피오라,MPID_フィオーラ
피오라,MPID_水着フィオーラ
필,MPID_春祭フィル
필,MPID_フィル
피요름,MPID_花嫁フィヨルム
피요름,MPID_開花フィヨルム味方
피요름,MPID_年明フィヨルム
피요름,MPID_フィヨルム
염제,MPID_炎帝
플라비아,MPID_フラヴィア
흐렌,MPID_フレン
플로라,MPID_フローラ
플로라,MPID_行楽フローラ
플로리나,MPID_開花フロリーナ
플로리나,MPID_フロリーナ
포데스,MPID_神階フォデス
폴레오,MPID_フォレオ
폴스,MPID_フォルス
프레데릭,MPID_水着フレデリク
프레데릭,MPID_フレデリク
프레이야,MPID_水着フレイヤ
프레이야,MPID_フレイヤ味方
프로지,MPID_水着フロージ
가이아,MPID_ガイア
가이아,MPID_水着ガイア
게일,MPID_ゲイル
가르자스,MPID_ガルザス
강글로트,MPID_魔器ガングレト味方
갼렐,MPID_ギャンレル
가론,MPID_ガロン
문지기,MPID_総選挙門番
가트리,MPID_ガトリー
기스,MPID_海賊ギース
제니,MPID_行楽ジェニー
제니,MPID_ジェニー
제프리,MPID_ジョフレ
지스트,MPID_ジスト
제롬,MPID_ジェローム
가네프,MPID_ガーネフ
곤잘레스,MPID_ゴンザレス
고든,MPID_ゴードン
가토,MPID_神階ガトー
그레이,MPID_グレイ
그레고,MPID_グレゴ
그레일,MPID_愛の祭グレイル
